Name,FullName,Extension,CreationTime
_הלווית_משגיח_ישיבת_ליקווד_סמוך_לישיבת_מיר_בירושלים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_הלווית_משגיח_ישיבת_ליקווד_סמוך_לישיבת_מיר_בירושלים.mp4,.mp4,7/30/2024 1:06:06 AM
_מטען_שנזרק_על_חיילים_ביו__ש_נופל_לתוך_דוד_מים_חצי_מטר_מהם_והם_ניצלו_בנס.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_מטען_שנזרק_על_חיילים_ביו__ש_נופל_לתוך_דוד_מים_חצי_מטר_מהם_והם_ניצלו_בנס.mp4,.mp4,7/30/2024 1:09:51 AM
_ילדי_הדרום_בתעסוקת_דומינו.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_ילדי_הדרום_בתעסוקת_דומינו.mp4,.mp4,7/30/2024 1:07:31 AM
_חיילי_קומנדו_לפני_הכניסה_לעזה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_חיילי_קומנדו_לפני_הכניסה_לעזה.mp4,.mp4,7/30/2024 1:07:17 AM
_הרמטכל_וראש_השבכ_במנהרות_חאן_יונס.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_הרמטכל_וראש_השבכ_במנהרות_חאן_יונס.mp4,.mp4,7/30/2024 1:06:57 AM
_מפת_הלחימה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_מפת_הלחימה.mp4,.mp4,7/30/2024 1:10:51 AM
_ככה_בונים_ישראלים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_ככה_בונים_ישראלים.mp4,.mp4,7/30/2024 1:08:43 AM
_לך_לשלום___דקה_של_הלכה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_לך_לשלום___דקה_של_הלכה.mp4,.mp4,7/30/2024 1:09:29 AM
_מתכון_מיוחד_לבייגל.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_מתכון_מיוחד_לבייגל.mp4,.mp4,7/30/2024 1:11:40 AM
_ירי_עשרות_טילים_על_הבסיס_במירון___תיעוד_של_חיזבאללה_בהילוך_מהיר.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_ירי_עשרות_טילים_על_הבסיס_במירון___תיעוד_של_חיזבאללה_בהילוך_מהיר.mp4,.mp4,7/30/2024 1:08:06 AM
